HOT PICKS,Code Number,Hardcover/Paperback,Name of book,Author,Genre,Goodreads Link,Publisher,Year
,T083PA,Paperback,The Keeper,Natasha Mostert,Paranormal,https://www.goodreads.com/book/show/6392977-the-keeper,,
,T007LT,Paperback,One Night At A Call Centre,Chetan Bhagat,Light Fiction,https://www.goodreads.com/book/show/105580.one_night_the_call_center,,
,T106LT,Paperback,Piece of Cake,Swati Kaushal,Light Fiction,https://www.goodreads.com/book/show/12063863-piece-of-cake,,
,T010LT,Paperback,Revolution 2020,Chetan Bhagat,Light Fiction,https://www.goodreads.com/book/show/12615008-revolution-2020,,
,T061LT,Paperback,The Naughty Girls' Book Club,Sophie Hart,Light Fiction,https://www.goodreads.com/book/show/17830795-the-naughty-girls-book-club,,
,T008LT,Paperback,The Three Mistakes of My Life,Chetan Bhagat,Light Fiction,https://www.goodreads.com/book/show/3320520-the-3-mistakes-of-my-life,,
,T033LF,Paperback,A Gentleman in Moscow,Amor Towles,Literary Fiction,https://www.goodreads.com/book/show/28789553-a-gentleman-in-moscow,,
,T051HF,Paperback,A Golden Age,Tahmima Anam,Historical Fiction /Bangladesh,https://www.goodreads.com/book/show/25251135-a-golden-age,,
,T172HF,Paperback,All The Light We Cannot See,Anthony Doerr,Historical Fiction,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,,
,Z231HF,Paperback,All the Light We Cannot See,Anthony Doerr,Historical Fiction,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see?ac=1&from_search=true,,
,T036HF,Paperback,And The Mountains Echoed,Khaled Hosseini,Historical Fiction,https://www.goodreads.com/book/show/17617027-and-the-mountains-echoed,,
,T092HF,Paperback,Birds of Prey,Wilbur Smith,Fiction,https://www.goodreads.com/book/show/906577.Birds_of_Prey,,
,T118HF,Hardcover,Flood of Fire ( Ibis Trilogy #2),Amitava Ghosh,Historical Fiction/Asian,https://www.goodreads.com/book/show/21375203-flood-of-fire,,
,T045HF,Paperback,Half Of A Yellow Sun,Chimamanda Ngozi Adichie,Historical Fiction/African,https://www.goodreads.com/book/show/23018751-half-of-a-yellow-sun,,
,T021HF,Paperback,My Name is Red,Orhan Pamuk,Historical Fiction/Turkish,https://www.goodreads.com/book/show/2517.My_Name_is_Red?from_search=true,,
,T062HF,Paperback,Redemption(Trinity #2),Leon Uris,Historical Fiction/War,https://www.goodreads.com/book/show/1276867.Redemption,,
,Z161HF,Paperback,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer and Anne Barrows,Historical Fiction/Epistolary,https://www.goodreads.com/book/show/2728527-the-guernsey-literary-and-potato-peel-pie-society?ac=1&from_search=true,,
,Z090HF,Paperback,The Help,Kathryn Stockett,Historical Fiction,https://www.goodreads.com/book/show/4667024-the-help?ac=1&from_search=true,,
,T120HF,Paperback,The Inheritance of Loss,Kiran Desai,Fiction/Philosophy,https://www.goodreads.com/book/show/15749408-the-inheritance-of-loss,,
,Z263HF,Paperback,The Last Days of Night,Graham Moore,Historical Fiction,https://www.goodreads.com/book/show/31119251-the-last-days-of-night,,
,Z086HF,Paperback,The Miniaturist,Jessie Burton,Historical Fiction,https://www.goodreads.com/book/show/18498569-the-miniaturist?ac=1&from_search=true,,
,T102HF,Paperback,The Mountain of Light,Indu Sundaresan,Historical Fiction,https://www.goodreads.com/book/show/18760446-the-mountain-of-light,,
,T177HF,Paperback,The Narrow Road to the Deep North,Richard Flanagan,Historical Fiction,https://www.goodreads.com/book/show/23346361-the-narrow-road-to-the-deep-north,,
,T029HF,Paperback,The Thousand Autumns of Jacob de Zoet,David Mitchell,Historical Fiction,https://www.goodreads.com/book/show/8720194-the-thousand-autumns-of-jacob-de-zoet,,
,T084HF,Paperback,Train to Pakistan,Khushwant Singh,Historical Fiction,https://www.goodreads.com/book/show/9500142-train-to-pakistan,,
,Z140NF,Paperback,A Short History of Nearly Everything,Bill Bryson,Non-Fiction,https://www.goodreads.com/book/show/437143.A_Short_History_of_Nearly_Everything,,
,T079NF,Paperback,Freakonomics,Steven D. Levity/ Stephen J. Dubner,Non-fiction / Business,https://www.goodreads.com/book/show/301931.Freakonomics,,
,Z137FN,Paperback,Freedom at Midnight,Larry Collins,Non-Fiction,https://www.goodreads.com/book/show/22430648-freedom-at-midnight,,
,Z116NF,Paperback,In My Mother's Shoes,Alison Walsh,Non-Fiction,https://www.goodreads.com/book/show/8144204-in-my-mother-s-shoes?ac=1&from_search=true,,
,T078NF,Paperback,Indian Thought,Ed : R. K. Narayan,Non-Fiction / Essays,https://www.goodreads.com/book/show/7500779-indian-thought,,
,Z063NF,Paperback,It's Not That I'm Bitter,Gina Barreca,Non-Fiction,https://www.goodreads.com/book/show/6405908-it-s-not-that-i-m-bitter?ac=1&from_search=true,,
,Z173NF,Paperback,News of a Kidnapping,Gabriel Garcia Marquez,Non-fiction,https://www.goodreads.com/book/show/2507330.News_of_a_Kidnapping,,
,T096NF,Hardcover,On Saudi Arabia,Karen Elliott House,Non-Fiction,https://www.goodreads.com/book/show/13330905-on-saudi-arabia,,
,Z130NF,Paperback,Rough Music,Tariq Ali,Non-Fiction,https://www.goodreads.com/book/show/184331.Rough_Music?ac=1&from_search=true,,
,T076NF,Paperback,Stay Hungry Stay Foolish,Rashmi Bansal,Non-Fiction,https://www.goodreads.com/book/show/4765642-stay-hungry-stay-foolish?ac=1&from_search=true,,
,Z069NF,Hardcover,The Book of General Ignorance,John Lloyd and John Mitchinson,Non-Fiction,https://www.goodreads.com/book/show/829656.The_Book_Of_General_Ignorance,,
,T162NF,Paperback,The Care and Keeping of You (The Body Book for Girls #1),,Non-Fiction (Children),https://www.goodreads.com/book/show/16231153-the-care-and-keeping-of-you-1,,
,T163NF,Paperback,The Care and Keeping of You (The Body Book for Girls #2),,Non-Fiction (Children),https://www.goodreads.com/book/show/16231153-the-care-and-keeping-of-you-2,,
,Z073NF,Paperback,The End of Your Life Book Club,Will Schwalbe,Non-Fiction,https://www.goodreads.com/book/show/16300431-the-end-of-your-life-book-club,,
,T111FN,Paperback,The Five People You Meet in Heaven,Mitch Albom,Fiction/ Spirituality,https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven,,
,Z228NF,Paperback,The Fragrance of Guava,Marquez and Mendoza,Non-Fiction,https://www.goodreads.com/book/show/527181.The_Fragrance_of_the_Guava?ac=1&from_search=true,,
,Z138NF,Paperback,The Penguin History of the Twentieth Century,J. M. Roberts,Non-Fiction,https://www.goodreads.com/book/show/640954.The_Penguin_History_of_the_Twentieth_Century?ac=1&from_search=true,,
,Z139NF,Paperback,The Stuff of Thought,Steven Pinker,Non-Fiction,https://www.goodreads.com/book/show/3108476-the-stuff-of-thought,,
,T108NF,Paperback,"Thinking, Fast and Slow",Daniel Kahneman,Non-Fiction/ Self-Help,https://www.goodreads.com/book/show/14062004-thinking-fast-and-slow,,
,Z103NF,Paperback,Three Cups of Tea,Greg Mortenson and David Oliver Relin,Non-Fiction,https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea?ac=1&from_search=true,,
,Z081NF,Paperback,Typhoid Mary,Anthony Bourdain,Non-Fiction,https://www.goodreads.com/book/show/164449.Typhoid_Mary,,
,Z034NF,Paperback,Women Who Run With The Wolves,Clarissa Pinkola Estes,Non-Fiction,https://www.goodreads.com/book/show/1396150.Women_Who_Run_With_The_Wolves,,
,Z155HF,Paperback,Do Not Say We Have Nothing,Madeleine Thien,Historical Fiction,https://www.goodreads.com/book/show/30037751-do-not-say-we-have-nothing,,
,Z248HF,Paperback,My Name is Red,Orhan Pamuk,Hstorical Fiction,https://www.goodreads.com/book/show/2517.My_Name_is_Red?ac=1&from_search=true,,
HOT PICKS,Z004FY,Paperback,A Court of Wings and Ruin,Sarah Maas,Fantasy/New Adult,https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin,,
,Z061FY,Paperback,Blood of Wonderland,Colleen Oakes,Fantasy/Young Adult,https://www.goodreads.com/book/show/30166599-blood-of-wonderland?ac=1&from_search=true,,
,T134FY,Hardcover,Fantastic Beasts and Where to Find Them,J. K. Rowling,Fantasy,https://www.goodreads.com/book/show/6351469-fantastic-beasts-and-where-to-find-them,,
,T131FY,Paperback,Harry Potter and The Order of the Phoenix,J. K. Rowling,Fantasy,https://www.goodreads.com/book/show/18271937-harry-potter-and-the-order-of-the-phoenix,,
,T129FY,Paperback,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Fantasy,https://www.goodreads.com/book/show/18193743-harry-potter-and-the-prisoner-of-azkaban,,
,T136FY,Hardcover,Quidditch Through the Ages,J. K. Rowling,Fantasy,https://www.goodreads.com/book/show/6398824-quidditch-through-the-ages,,
,T171FY,Paperback,Skulduggery Pleasant (Kingdom of the Wicked),Derek Landy,Fantasy,https://www.goodreads.com/book/show/16881421-kingdom-of-the-wicked,,
,T135FY,Hardcover,Tales of Beedle the Bard,J. K. Rowling,Fantasy,https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard,,
,T113FY,Paperback,The Book of Lost Things,John Connolly,Fantasy,https://www.goodreads.com/book/show/494610.The_Book_of_Lost_Things,,
,Z162FY,Paperback,The Night Circus,Erin Morgenstern,Fantasy,https://www.goodreads.com/book/show/9361589-the-night-circus?ac=1&from_search=true,,
,Z219CL,Paperback,1984,George Orwell,Classics,https://www.goodreads.com/book/show/5470.1984?ac=1&from_search=true,,
,Z212CL,Paperback,A Tree Grows in Brooklyn,Betty Smith,Classics,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn?ac=1&from_search=true,,
,T179CL,Paperback,Anne Of Green Gables,L. M. Montgomery,Classics,https://www.goodreads.com/book/show/18051146-anne-of-green-gables,,
,Z208CL,Paperback,Catch-22,Joseph Heller,Classics,https://www.goodreads.com/book/show/4610.Catch_22,,
,Z246CL,Paperback,Demian,Hermann Hesse,Classics,https://www.goodreads.com/book/show/1005314.Demian,,
,Z220CL,Paperback,Flowers for Algernon,Daniel Keyes,Classics,https://www.goodreads.com/book/show/18373.Flowers_for_Algernon?ac=1&from_search=true,,
,T024FN,Hardcover,Go Set A Watchman ( #2),Harper Lee,Fiction,https://www.goodreads.com/book/show/24831147-go-set-a-watchman,,
,Z221CL,Paperback,Hard Times,Charles Dickens,Classics,https://www.goodreads.com/book/show/5344.Hard_Times?ac=1&from_search=true,,
,T066LF,Paperback,Midnight's Children,Salman Rushdie,Literary Fiction/Magical Realism,https://www.goodreads.com/book/show/14836.Midnight_s_Children,,
,Z217CL,Paperback,Selected Tales,Edgar Allan Poe,Classics,https://www.goodreads.com/book/show/71014.Selected_Tales?ac=1&from_search=true,,
,T030CL,Paperback,The Bell Jar,Sylvia Plath,Classics,https://www.goodreads.com/book/show/12478803-the-bell-jar,,
,Z242CL,Paperback,The Casuarina Tree,W Somerset Maugham,Classics,https://www.goodreads.com/book/show/887838.The_Casuarina_Tree?ac=1&from_search=true,,
,T095LF,Paperback,The Fountainhead,Ayn Rand,Literary Fiction/ Philosophical Fiction,https://www.goodreads.com/book/show/2267772.The_Fountainhead,,
,T166CL,Paperback,The Hobbit,J. R. R. Tolkien,Classics,https://www.goodreads.com/book/show/42672.The_Hobbit,,
,T148CL,Paperback,The Hound of The Baskervilles,Sir Arthur Conan Doyle,Mystery (Classics),https://www.goodreads.com/book/show/392159.The_Hound_of_the_Baskervilles,,
,T158CL,Paperback,"The Lion, The Witch and The Wardrobe (The Chronicles of Narnia #2)",C. S. Lewis,Classics,https://www.goodreads.com/book/show/8597727-the-lion-the-witch-and-the-wardrobe,,
,Z218CL,Paperback,The Pearl,John Steinbeck,Classics,https://www.goodreads.com/book/show/5308.The_Pearl?ac=1&from_search=true,,
,Z216CL,Hardcover,The Pickwick Papers,Charles Dickens,Classics,https://www.goodreads.com/book/show/229432.The_Pickwick_Papers?ac=1&from_search=true,,
,Z240CL,Paperback,To Kill A Mocking Bird,Harper Lee,Classics,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird?ac=1&from_search=true,,
,T023CL,Paperback,To Kill a Mocking Bird (#1),Harper Lee,Classics,https://www.goodreads.com/book/show/816815.To_Kill_a_Mockingbird,,
,Z092CL,Paperback,Uncle Tom's Cabin,Harriet Beecher Stowe,Classics,https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin?ac=1&from_search=true,,
,Z258CL,Paperback,Wuthering Heights,Emily Bronte,Classics,https://www.goodreads.com/book/show/6185.Wuthering_Heights?ac=1&from_search=true,,
,Z236SF,Paperback,Cloud Atlas,David Mitchell,Science Fiction,https://www.goodreads.com/book/show/6794.Cloud_Atlas,,
,Z089SF,Paperback,The Girl With All the Gifts,M. R. Carey,Science Fiction,https://www.goodreads.com/book/show/17235026-the-girl-with-all-the-gifts?ac=1&from_search=true,,
,Z222LF,Paperback,Chronicle of a Death Foretold,Gabriel Garcia Marquez,Literary Fiction,https://www.goodreads.com/book/show/23878.Chronicle_of_a_Death_Foretold,,
,Z124LF,Paperback,He (Shey),Rabindranath Tagore,Literary Fiction,https://www.goodreads.com/book/show/2250825.He?ac=1&from_search=true,,
,Z251LF,Paperback,If on a Winter's Night a Traveller,Italo Calvino,Literary Fiction,https://www.goodreads.com/book/show/374233.If_on_a_Winter_s_Night_a_Traveler?ac=1&from_search=true,,
,Z223LF,Paperback,Innocent Erendira and Other Stories,Gabriel Garcia Marquez,Literary Fiction,https://www.goodreads.com/book/show/31741.Innocent_Erendira_and_Other_Stories,,
,Z250LF,Paperback,Invisible Cities,Italo Calvino,Literary Fiction,https://www.goodreads.com/book/show/236219.Invisible_Cities,,
,Z224LF,Paperback,Love in the Time of Cholera,Gabriel Garcia Marquez,Literary Fiction,https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera,,
,Z249LF,Paperback,Marcovaldo,Italo Calvino,Literary Fiction,https://www.goodreads.com/book/show/18929.Marcovaldo,,
,Z225LF,Hardcover,Memoirs of my Meloncholy Whores,Gabriel Garcia Marquez,Literary Fiction,https://www.goodreads.com/book/show/760.Memories_of_My_Melancholy_Whores,,
,Z227LF,Paperback,No One Writes to the Colonel,Gabriel Garcia Marquez,Literary Fiction,https://www.goodreads.com/book/show/23885.No_One_Writes_to_the_Colonel_and_Other_Stories,,
,Z171LF,Paperback,One Hundred Years of Solitude,Gabriel Garcia Marquez,Literary Fiction/Fiction,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude?ac=1&from_search=true,,
,Z247LF,Paperback,The Black Book,Orhan Pamuk,Literary Fiction,https://www.goodreads.com/book/show/824340.The_Black_Book,,
,Z245LF,Paperback,The Farewell Party,Milan Kundera,Literary Fiction,https://www.goodreads.com/book/show/28638.The_Farewell_Party?ac=1&from_search=true,,
,Z253LF,Paperback,The Ground Beneath Her Feet,Salman Rushdie,Literary Fiction,https://www.goodreads.com/book/show/9864.The_Ground_Beneath_Her_Feet?ac=1&from_search=true,,
,Z158FN,Paperback,The Sellout,Paul Beatty,Fiction,https://www.goodreads.com/book/show/22237161-the-sellout?ac=1&from_search=true,,
,Z241LF,Paperback,The Sense of an Ending,Julian Barnes,Literary Fiction,https://www.goodreads.com/book/show/10746542-the-sense-of-an-ending?ac=1&from_search=true,,
,Z142YA,Paperback,Looking For Alaska,John Green,Young Adult,https://www.goodreads.com/book/show/99561.Looking_for_Alaska?ac=1&from_search=true,,
,Z179YA,Paperback,The Fault in our Stars,John Green,Young Adult,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,,
,Z264RO,Paperback,Accidental Texting,Kimberly Montague,Romance,https://www.goodreads.com/book/show/16096686-accidental-texting?ac=1&from_search=true,,
,T112RO,Paperback,Archer's Voice,Mia Sheridan,Romance,https://www.goodreads.com/book/show/20823529-archer-s-voice,,
,Z260RO,Paperback,Archer's Voice,Mia Sheridan,Romance,https://www.goodreads.com/book/show/32822135-archer-s-voice?ac=1&from_search=true,,
,Z300RO,Paperback,Beautiful Disaster (Beautiful #1),Jamie McGuire,Romance,https://www.goodreads.com/book/show/11505797-beautiful-disaster?ac=1&from_search=true,,
,Z301RO,Paperback,Beautiful Wedding (Beautiful #2),Jamie McGuire,Romance,https://www.goodreads.com/book/show/18528454-a-beautiful-wedding,,
,Z272RO,Paperback,Beneath This Man (This Man #2),Jodi Ellen Malpas,Romance,https://www.goodreads.com/book/show/18149927-beneath-this-man,,
,Z286RO,Paperback,Dark Lover (Black Dagger Brotherhood #1),J. R. Ward,Romance/Fantasy,https://www.goodreads.com/book/show/42899.Dark_Lover?from_search=true,,
,Z293RO,Paperback,Effortless (Thoughtless #2),S. C. Stephens,Romance,https://www.goodreads.com/book/show/15842441-effortless,,
,Z273RO,Paperback,Fallen Too Far (Rosemary Beach #1),Abbi Glines,Romance,https://www.goodreads.com/book/show/16070903-fallen-too-far?from_search=true,,
,Z297RO,Paperback,Fifty Shades Darker (Fifty Shades #2),E. L. James,Romance,https://www.goodreads.com/book/show/11857408-fifty-shades-darker,,
,Z298RO,Paperback,Fifty Shades Freed (Fifty Shades #3),E. L. James,Romance,https://www.goodreads.com/book/show/13536860-fifty-shades-freed,,
,T049RO,Paperback,Fifty Shades Freed (Fifty Shades #3),E. L. James,Romance,https://www.goodreads.com/book/show/13536860-fifty-shades-freed,,
,T048RO,Paperback,Fifty Shades Darker (Fifty Shades #2),E. L. James,Romance,https://www.goodreads.com/book/show/13536859-fifty-shades-darker,,
,T047RO,Paperback,Fifty Shades of Grey (Fifty Shades #1),E. L. James,Romance,https://www.goodreads.com/book/show/13536858-fifty-shades-of-grey,,
,Z296RO,Paperback,Fifty Shades of Grey (Fifty Shades #1),E. L. James,Romance,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey?ac=1&from_search=true,,
,Z275RO,Paperback,Forever Too Far (Rosemary Beach #3),Abbi Glines,Romance,https://www.goodreads.com/book/show/17337562-forever-too-far,,
,Z299RO,Paperback,Grey (Fifty Shades #4),E. L. James,Romance,https://www.goodreads.com/book/show/25644601-grey,,
,Z267RO,Paperback,Heir in Exile (Latvala Royals #3),Danielle Bourdon,Romance,https://www.goodreads.com/book/show/17568289-heir-in-exile,,
,Z265RO,Paperback,Heir Untamed (Latvala Royals #1),Danielle Bourdon,Romance,https://www.goodreads.com/book/show/17157823-heir-untamed,,
,Z261RO,Paperback,Hero,Samantha Young,Romance,https://www.goodreads.com/book/show/23355069-hero?ac=1&from_search=true,,
,Z266RO,Paperback,King & Kingdom (Latvala Royals #2),Danielle Bourdon,Romance,https://www.goodreads.com/book/show/17344394-king-and-kingdom,,
,Z280RO,Paperback,Love Unrehearsed (Love #2),Tina Reber,Romance,https://www.goodreads.com/book/show/12647642-love-unrehearsed,,
,Z279RO,Paperback,Love Unscripted (Love #1),Tina Reber,Romance,https://www.goodreads.com/book/show/8204005-love-unscripted?ac=1&from_search=true,,
,Z282RO,Paperback,Manwhore (Manwhore #1),Katy Evans,Romance,https://www.goodreads.com/book/show/22892122-manwhore?ac=1&from_search=true,,
,Z283RO,Paperback,Manwhore +1 (Manwhore #2),Katy Evans,Romance,https://www.goodreads.com/book/show/23846385-manwhore-1,,
,Z285RO,Paperback,Mystery Man,Kristen Ashley,Romance,https://www.goodreads.com/book/show/12299419-mystery-man?ac=1&from_search=true,,
,Z274RO,Paperback,Never Too Far (Rosemary Beach #2),Abbi Glines,Romance,https://www.goodreads.com/book/show/17029526-never-too-far,,
,T103RO,Paperback,Our Song,Dany Atkins,Romance,https://www.goodreads.com/book/show/27555699-our-song,,
,Z186RO,Paperback,Outlander (Outlander #1),Diana Gabaldon,Romance,https://www.goodreads.com/book/show/10964.Outlander?ac=1&from_search=true,,
,T072RO,Paperback,P. S. I Love You,Cecelia Ahern,Romance,https://www.goodreads.com/book/show/1929407.P_S_I_Love_You,,
,Z287RO,Paperback,Raw,Belle Aurora,Romance,https://www.goodreads.com/book/show/20421367-raw?from_search=true,,
,Z294RO,Paperback,Reckless (Thoughtless #3),S. C. Stephens,Romance,https://www.goodreads.com/book/show/13596809-reflected-in-you?ac=1&from_search=true,,
,Z302RO,Paperback,Reflected in You (Crossfire #2),Sylvia Day,Romance,https://www.goodreads.com/book/show/13596809-reflected-in-you,,
,Z281RO,Paperback,Slammed,Colleen Hoover,Romance,https://www.goodreads.com/book/show/30333938-slammed?from_search=true,,
,Z291RO,Paperback,Taming the Storm (Storm #3),Samantha Towle,Romance,https://www.goodreads.com/book/show/17335212-taming-the-storm,,
,Z288RO,Paperback,Tears of Tess,Pepper Winters,Romance,https://www.goodreads.com/book/show/18134894-tears-of-tess?ac=1&from_search=true,,
,Z268RO,Paperback,The King Takes a Bride (Latvala Royals #4),Danielle Bourdon,Romance,https://www.goodreads.com/book/show/17831019-the-king-takes-a-bride,,
,Z289RO,Paperback,The Mighty Storm (Storm #1),Samantha Towle,Romance,https://www.goodreads.com/book/show/15724654-the-mighty-storm?ac=1&from_search=true,,
,Z062RO,Paperback,The Next Always,Nora Roberts,Romance,https://www.goodreads.com/book/show/10305231-the-next-always?ac=1&from_search=true,,
,Z270RO,Paperback,The Royal Legacy (Latvala Royals #6),Danielle Bourdon,Romance,https://www.goodreads.com/book/show/23502035-a-royal-legacy,,
,T176RO,Paperback,The Time of My Life,Cecelia Ahern,Romance,https://www.goodreads.com/book/show/11987070-the-time-of-my-life,,
,Z269RO,Paperback,The Wrath of the King (Latvala Royals #5),Danielle Bourdon,Romance,https://www.goodreads.com/book/show/18047258-the-wrath-of-the-king,,
,Z271RO,Paperback,This Man (This Man #1),Jodi Ellen Malpas,Romance,https://www.goodreads.com/book/show/16140036-this-man,,
,Z295RO,Paperback,Thoughtful (Thoughtless #1.5),S. C. Stephens,Romance,https://www.goodreads.com/book/show/23200620-thoughtful,,
,Z292RO,Paperback,Thoughtless (Thoughtless #1),S. C. Stephens,Romance,https://www.goodreads.com/book/show/13517535-thoughtless?ac=1&from_search=true,,
,Z290RO,Paperback,Wethering the Storm (Storm #2),Samantha Towle,Romance,https://www.goodreads.com/book/show/16053316-wethering-the-storm,,
,Z135FN,Paperback,A Case of Exploding Mangoes,Mohammed Hanif,Fiction/South-Asian,https://www.goodreads.com/book/show/2153793.A_Case_of_Exploding_Mangoes?ac=1&from_search=true,,
,Z037FN,Paperback,A Fort of Nine Towers,Qais Akbar Omar,Fiction,https://www.goodreads.com/book/show/16071710-a-fort-of-nine-towers?ac=1&from_search=true,,
,Z078FN,Paperback,A Funny Thing Happened on the Way to the Cemetry,Carl Muller,Fiction,https://www.goodreads.com/book/show/1139375.A_Funny_Thing_Happened_On_The_Way_To_The_Cemetery,,
,Z169HF,Paperback,A God in Ruins,Kate Atkinson,Historical Fiction,https://www.goodreads.com/book/show/3722183-a-god-in-ruins?ac=1&from_search=true,,
,Z204FN,Paperback,A History of Loneliness,John Boyne,Fiction,https://www.goodreads.com/book/show/19381636-a-history-of-loneliness?ac=1&from_search=true,,
,T022LF,Hardcover,A Strangeness in My Mind,Orhan Pamuk,Literary Fiction,https://www.goodreads.com/book/show/24904280-a-strangeness-in-my-mind,,
,T035FN,Paperback,A Thousand Splendid Sons,Khaled Hosseini,Fiction,https://www.goodreads.com/book/show/834713.A_Thousand_Splendid_Suns,,
,Z016FN,Paperback,A Thousand Splendid Suns,Khaled Hosseini,Fiction,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns?ac=1&from_search=true,,
,Z257FN,Hardcover,A Town Like Alice,Nevil Shute,Fiction,https://www.goodreads.com/book/show/107301.A_Town_Like_Alice?ac=1&from_search=true,,
,Z076FN,Paperback,About A Boy,Nick Hornby,Fiction,https://www.goodreads.com/book/show/4271.About_a_Boy?ac=1&from_search=true,,
,Z201FN,Hardcover,Ajax Penumbra 1969,Robin Sloan,Fiction,https://www.goodreads.com/book/show/22481409-ajax-penumbra,,
,Z019FN,Paperback,Americanah,Chimamanda Ngozie Adichie,Fiction,https://www.goodreads.com/book/show/15796700-americanah,,
,T067FN,Paperback,Being Elizabeth,Barbara Taylor Bradford,Fiction,https://www.goodreads.com/book/show/3572967-being-elizabeth,,
,Z072FN,Paperback,Bread Givers,Anzia Yezierska,Fiction,https://www.goodreads.com/book/show/3637.Bread_Givers?from_search=true,,
,Z129FN,Paperback,Chowringhee,Sankar,Fiction/South-Asian,https://www.goodreads.com/book/show/1074682.Chowringhee?ac=1&from_search=true,,
,Z233LF,Paperback,Colorless Tsukuru and his Years of Pilgrimage,Haruki Murakami,Literary Fiction/Literary Realism,https://www.goodreads.com/book/show/19288239-colorless-tsukuru-tazaki-and-his-years-of-pilgrimage,,
,T016FN,Paperback,Eleven Minutes,Paulo Coelho,Fiction,https://www.goodreads.com/book/show/1430.Eleven_Minutes,,
,Z207FN,Paperback,Everything I Never Told You,Celeste Ng,Fiction,https://www.goodreads.com/book/show/18693763-everything-i-never-told-you,,
,Z091FN,Paperback,Extremely Loud & Incredibly Close,Jonathan Safran Foer,Fiction,https://www.goodreads.com/book/show/4588.Extremely_Loud_and_Incredibly_Close?ac=1&from_search=true,,
,Z198FN,Paperback,Fates and Furies,Lauren Groff,Fiction,https://www.goodreads.com/book/show/24612118-fates-and-furies?ac=1&from_search=true,,
,Z215LF,Paperback,Gilead,Marilynne Robinson,Literary Fiction,https://www.goodreads.com/book/show/68210.Gilead?ac=1&from_search=true,,
,Z075FN,Paperback,Glyph,Percival Everett,Fiction,https://www.goodreads.com/book/show/355818.Glyph?ac=1&from_search=true,,
,Z017HF,Paperback,Half of a Yellow Sun,Chimamanda Ngozie Adichie,Hitorical Fiction,https://www.goodreads.com/book/show/18749.Half_of_a_Yellow_Sun?ac=1&from_search=true,,
,Z080FN,Paperback,High Fidelity,Nick Hornby,Fiction,https://www.goodreads.com/book/show/285092.High_Fidelity?ac=1&from_search=true,,
,Z193FN,Paperback,How to be Both,Ali Smith,Fiction,https://www.goodreads.com/book/show/20439328-how-to-be-both?ac=1&from_search=true,,
,Z317FN,Paperback,How to Get Filthy Rich in Rising Asia,Mohsin Hamid,Fiction/South-Asian,https://www.goodreads.com/book/show/17621927-how-to-get-filthy-rich-in-rising-asia,,
,Z125FN,Paperback,In the City by the Sea,Kamila Shamsie,Fiction/South-Asian,https://www.goodreads.com/book/show/524894.In_the_City_by_the_Sea?ac=1&from_search=true,,
,Z120FN,Hardcover,Last Man in Tower,Aravind Adiga,Fiction/South-Asian,https://www.goodreads.com/book/show/10854908-last-man-in-tower?ac=1&from_search=true,,
,Z154FN,Paperback,Life of Pi,Yann Martel,Fiction,https://www.goodreads.com/book/show/4214.Life_of_Pi?ac=1&from_search=true,,
,Z122FN,Paperback,Like a Diamond in the Sky,Shazia Omar,Fiction/South-Asian,https://www.goodreads.com/book/show/7978441-like-a-diamond-in-the-sky?ac=1&from_search=true,,
,Z054FN,Paperback,Little Huts of Leaping Fishes,Chiew-Siah Tei,Fiction/Chinese,https://www.goodreads.com/book/show/3491547-little-hut-of-leaping-fishes?ac=1&from_search=true,,
,Z259FN,Paperback,Major Pettigrew's Last Stand,Helen Simonson,Fiction,https://www.goodreads.com/book/show/6643090-major-pettigrew-s-last-stand?ac=1&from_search=true,,
,T004FN,Paperback,Maps for Lost Lovers,Nadeem Aslam,Fiction,https://www.goodreads.com/book/show/16300971-maps-for-lost-lovers,,
,Z159FN,Paperback,Memoirs of an Imaginary Friend,Matthew Green,Fiction,https://www.goodreads.com/book/show/13101889-memoirs-of-an-imaginary-friend,,
,T019FN,Paperback,Moth Smoke,Mohsin Hamid,Fiction,https://www.goodreads.com/book/show/1275387.Moth_Smoke,,
,Z202FN,Paperback,Mr Penumbra's 24-Hour Bookstore,Robin Sloan,Fiction,https://www.goodreads.com/book/show/13538873-mr-penumbra-s-24-hour-bookstore,,
,Z084FN,Paperback,My Sister's Keeper,Jodi Picoult,Fiction,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper?from_search=true,,
