HOT PICKS,Code Number,Hardcover/Paperback,Name of book,Author,Genre,Goodreads Link,Publisher,Year
,B739FY,Paperback,The Night Circus,Erin Morgenstern,Fantasy,https://www.goodreads.com/book/show/9361589-the-night-circus?ac=1&from_search=true,,
,B740FN,Paperback,John Dollar,Marianne Wiggins,Fiction,https://www.goodreads.com/book/show/7035997-john-dollar,,
,B743FN,Paperback,Hope in Tehnicolor,Srabonti Narmeen Ali,Fiction,https://www.goodreads.com/book/show/22317693-hope-in-technicolor?ac=1&from_search=true,,
,B745NF,Paperback,Think Like A Champion,Dr. Rudi Webster,Non - Fiction / Sports,https://www.goodreads.com/book/show/21208462-think-like-a-champion?ac=1&from_search=true#,,
,B706C2,Hardcover,Children's Illustrated Encyclopedia,Peter Eldin and Anne McKie,Children's (Non-Fiction),,,
,B707C1,Hardcover,God Gave Us You,Lisa Tawn Bergren,Children's (3-5 yrs),https://www.goodreads.com/book/show/128433.God_Gave_Us_You?ac=1&from_search=true,,
,B708C2,Hardcover,Wild Wild World (Questions and Answers),"Anita Ganeri, Clare Oliver, Denny Robson",Children's (Non-Fiction),https://www.goodreads.com/book/show/6378720-wild-wild-world?ac=1&from_search=true,,
,B709C1,Hardcover,Not Afraid Of Dogs,"Susanna Pitzer, Illustrations by Larry Day",Children's (3-5 yrs),https://www.goodreads.com/book/show/714989.Not_Afraid_of_Dogs?ac=1&from_search=true,,
,B710C1,Hardcover,The Napping House,"Audrey Wood, Illustrations by Don Wood",Children's (3-5 yrs),https://www.goodreads.com/book/show/815234.The_Napping_House?ac=1&from_search=true,,
,B711C1,Hardcover,Mary Engelbreit's Mother Goose: One Hundred Best-Loved Verses,Mary Engelbreit,Children's (3-5 yrs),https://www.goodreads.com/book/show/36665.Mary_Engelbreit_s_Mother_Goose?ac=1&from_search=true,,
,B712C2,Hardcover,Five-Minute Devotions For Children,"Pamela Kennedy, Amy Wummer",Children's (Non-Fiction),https://www.goodreads.com/book/show/886353.Five_Minute_Devotions_For_Children?ac=1&from_search=true,,
,B713C2,Hardcover,More Five-Minute Devotions For Children,"Pamela Kennedy, Amy Wummer",Children's (Non-Fiction),https://www.goodreads.com/book/show/435758.More_Five_Minute_Devotions_for_Children?ac=1&from_search=true,,
,B714C2,Hardcover,The Children's Book of Virtues,"William J. Bennett (Editor), Michael Hague",Children's (6-8 yrs),https://www.goodreads.com/book/show/367692.The_Children_s_Book_of_Virtues?ac=1&from_search=true,,
,B747FN,Paperback,A Perfect Execution,Tim Binding,Fiction,https://www.goodreads.com/book/show/288805.A_Perfect_Execution?ac=1&from_search=true,,
,B748FN,Paperback,Simple Passion,Annie Ernaux,Fiction,https://www.goodreads.com/book/show/399257.Simple_Passion?ac=1&from_search=true,,
,B749FN,Hardcover,The Abstinence Teacher,Tom Perrotta,Fiction / Canadian,https://www.goodreads.com/book/show/347143.The_Abstinence_Teacher?ac=1&from_search=true,,
,B751FN,Paperback,Like Water For Chocolate,Laura Esquivel,Fiction / Mexico,https://www.goodreads.com/book/show/89477.Like_Water_for_Chocolate,,
,B752FN,Paperback,Lynelle By the Sea,Laurie Lico Albanese,Fiction,https://www.goodreads.com/book/show/1157671.Lynelle_By_the_Sea,,
,B753FN,Paperback,The Hero's Walk,Anita Rau Badami,Fiction / Canadian,https://www.goodreads.com/book/show/335915.The_Hero_s_Walk?ac=1&from_search=true,,
,B754FN,Paperback,Dead Above Ground,Jervy Tervalon,Fiction / African-American,https://www.goodreads.com/book/show/897847.Dead_Above_Ground?ac=1&from_search=true,,
,B755FN,Paperback,Aftertaste,Namita Devidayal,Fiction,https://www.goodreads.com/book/show/13264260-aftertaste?ac=1&from_search=true,,
,B756HF,Paperback,The Man in the Box,Thomas Moran,Historical Fiction / WW II,https://www.goodreads.com/book/show/22558247-the-man-in-the-box,,
,B758TH,Hardcover,"Mary, Mary",Julia Parsons,Thriller,https://www.goodreads.com/book/show/1093223.Mary_Mary,,
,B759TH,Paperback,The Book of Revelation,Rupert Thomson,Thriller,https://www.goodreads.com/book/show/290037.The_Book_of_Revelation?ac=1&from_search=true,,
,B760TH,Paperback,The Sixth Lamentation (Father Anselm Mysteries #1),William Brodrick,Thriller,https://www.goodreads.com/book/show/1340825.The_Sixth_Lamentation,,
,B761MY,Paperback,Forty Words For Sorrow,Giles Blunt,Mystery / Canadian,https://www.goodreads.com/book/show/150447.Forty_Words_for_Sorrow?ac=1&from_search=true,,
,B765LT,Paperback,The Edge of Pleasure,Philippa Stockley,Light Fiction,https://www.goodreads.com/book/show/575842.The_Edge_of_Pleasure?ac=1&from_search=true,,
,B766LT,Hardcover,The Jane Austen Book Club,Karen Joy Fowler,Light Fiction,https://www.goodreads.com/book/show/195186.The_Jane_Austen_Book_Club,,
,B767LT,Paperback,Mini Shopaholic (Shopaholic #6),Sophie Kinsella,Light Fiction,https://www.goodreads.com/book/show/10136016-mini-shopaholic,,
,B768SS,Hardcover,Perfect Lives,Polly Samson,Short Stories,https://www.goodreads.com/book/show/9720479-perfect-lives?from_search=true,,
,B769FY,Paperback,Mrs. Caliban,Rachel Ingalls,Fantasy,https://www.goodreads.com/book/show/285591.Mrs_Caliban?ac=1&from_search=true,,
,B770LF,Paperback,The Invisible Circus,Jennifer Egan,Literary Fiction,https://www.goodreads.com/book/show/122986.The_Invisible_Circus?ac=1&from_search=true,,
,B771LF,Hardcover,The Marriage Plot,Jeffrey Eugenides,Literary Fiction,https://www.goodreads.com/book/show/10964693-the-marriage-plot?ac=1&from_search=true,,
,B772LF,Paperback,Remainder,Tom McCarthy,Literary Fiction,https://www.goodreads.com/book/show/101334.Remainder?ac=1&from_search=true,,
,B773LF,Paperback,The Accidental,Ali Smith,Literary Fiction,https://www.goodreads.com/book/show/814302.The_Accidental,,
